variable;presence conditions
CONFIG_USB_HCD_SSB_MODULE;(((((((((((((((((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && CONFIG_PCI) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_EHCI_HCD || CONFIG_USB_EHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_ISP116X_HCD || CONFIG_USB_ISP116X_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_OHCI_HCD || CONFIG_USB_OHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_UHCI_HCD || CONFIG_USB_UHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FHCI_HCD || CONFIG_USB_FHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_XHCI_HCD || CONFIG_USB_XHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_SL811_HCD || CONFIG_USB_SL811_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_ISP1362_HCD || CONFIG_USB_ISP1362_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_U132_HCD || CONFIG_USB_U132_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_R8A66597_HCD || CONFIG_USB_R8A66597_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_HWA_HCD || CONFIG_USB_HWA_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_IMX21_HCD || CONFIG_USB_IMX21_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FSL_MPH_DR_OF || CONFIG_USB_FSL_MPH_DR_OF_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FOTG210_HCD || CONFIG_USB_FOTG210_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_MAX3421_HCD || CONFIG_USB_MAX3421_HCD_MODULE))) && (CONFIG_USB_HCD_SSB || CONFIG_USB_HCD_SSB_MODULE);((((((((((((((((((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && CONFIG_PCI) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_EHCI_HCD || CONFIG_USB_EHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_ISP116X_HCD || CONFIG_USB_ISP116X_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_OHCI_HCD || CONFIG_USB_OHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_UHCI_HCD || CONFIG_USB_UHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FHCI_HCD || CONFIG_USB_FHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_XHCI_HCD || CONFIG_USB_XHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_SL811_HCD || CONFIG_USB_SL811_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_ISP1362_HCD || CONFIG_USB_ISP1362_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_U132_HCD || CONFIG_USB_U132_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_R8A66597_HCD || CONFIG_USB_R8A66597_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_HWA_HCD || CONFIG_USB_HWA_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_IMX21_HCD || CONFIG_USB_IMX21_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FSL_MPH_DR_OF || CONFIG_USB_FSL_MPH_DR_OF_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FOTG210_HCD || CONFIG_USB_FOTG210_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_MAX3421_HCD || CONFIG_USB_MAX3421_HCD_MODULE))) && (CONFIG_USB_HCD_SSB || CONFIG_USB_HCD_SSB_MODULE)) && ((CONFIG_PM || !CONFIG_PM) || CONFIG_SSB_DRIVER_MIPS)
CONFIG_HAVE_CMPXCHG_DOUBLE;(CONFIG_IOMMU_SUPPORT && CONFIG_IRQ_REMAP) && CONFIG_HAVE_CMPXCHG_DOUBLE;CONFIG_SLUB && (CONFIG_HAVE_CMPXCHG_DOUBLE && CONFIG_HAVE_ALIGNED_STRUCT_PAGE)
CONFIG_FUSION_LOGGING;((((CONFIG_FUSION && CONFIG_FUSION) && (CONFIG_FUSION_SPI || CONFIG_FUSION_SPI_MODULE)) || ((CONFIG_FUSION && CONFIG_FUSION) && (CONFIG_FUSION_FC || CONFIG_FUSION_FC_MODULE))) || ((CONFIG_FUSION && CONFIG_FUSION) && (CONFIG_FUSION_SAS || CONFIG_FUSION_SAS_MODULE))) && CONFIG_FUSION_LOGGING
CONFIG_USB_HCD_BCMA_MODULE;(((((((((((((((((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && CONFIG_PCI) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_EHCI_HCD || CONFIG_USB_EHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_ISP116X_HCD || CONFIG_USB_ISP116X_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_OHCI_HCD || CONFIG_USB_OHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_UHCI_HCD || CONFIG_USB_UHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FHCI_HCD || CONFIG_USB_FHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_XHCI_HCD || CONFIG_USB_XHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_SL811_HCD || CONFIG_USB_SL811_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_ISP1362_HCD || CONFIG_USB_ISP1362_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_U132_HCD || CONFIG_USB_U132_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_R8A66597_HCD || CONFIG_USB_R8A66597_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_HWA_HCD || CONFIG_USB_HWA_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_IMX21_HCD || CONFIG_USB_IMX21_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FSL_MPH_DR_OF || CONFIG_USB_FSL_MPH_DR_OF_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FOTG210_HCD || CONFIG_USB_FOTG210_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_MAX3421_HCD || CONFIG_USB_MAX3421_HCD_MODULE))) && (CONFIG_USB_HCD_BCMA || CONFIG_USB_HCD_BCMA_MODULE);((((((((((((((((((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && CONFIG_PCI) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_EHCI_HCD || CONFIG_USB_EHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_ISP116X_HCD || CONFIG_USB_ISP116X_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_OHCI_HCD || CONFIG_USB_OHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_UHCI_HCD || CONFIG_USB_UHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FHCI_HCD || CONFIG_USB_FHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_XHCI_HCD || CONFIG_USB_XHCI_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_SL811_HCD || CONFIG_USB_SL811_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_ISP1362_HCD || CONFIG_USB_ISP1362_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_U132_HCD || CONFIG_USB_U132_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_R8A66597_HCD || CONFIG_USB_R8A66597_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_HWA_HCD || CONFIG_USB_HWA_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_IMX21_HCD || CONFIG_USB_IMX21_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FSL_MPH_DR_OF || CONFIG_USB_FSL_MPH_DR_OF_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_FOTG210_HCD || CONFIG_USB_FOTG210_HCD_MODULE))) || ((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_MAX3421_HCD || CONFIG_USB_MAX3421_HCD_MODULE))) && (CONFIG_USB_HCD_BCMA || CONFIG_USB_HCD_BCMA_MODULE)) && ((CONFIG_PM || !CONFIG_PM) || CONFIG_BCMA_DRIVER_MIPS)
CONFIG_BCMA_BLOCKIO;CONFIG_BCMA_BLOCKIO && ((((CONFIG_BCMA || CONFIG_BCMA_MODULE) && (CONFIG_BCMA || CONFIG_BCMA_MODULE)) && CONFIG_BCMA_HOST_PCI) || (((CONFIG_BCMA || CONFIG_BCMA_MODULE) && (CONFIG_BCMA || CONFIG_BCMA_MODULE)) && CONFIG_BCMA_HOST_SOC))
CONFIG_APM_DISPLAY_BLANK;(CONFIG_APM || CONFIG_APM_MODULE) && (CONFIG_APM_DISPLAY_BLANK && CONFIG_VT)
CONFIG_PREEMPT_NONE;(((((CONFIG_FUNCTION_TRACER || CONFIG_TRACING) || CONFIG_TRACE_CLOCK) || CONFIG_RING_BUFFER) || CONFIG_TRACEPOINTS) && CONFIG_TRACING) && (((CONFIG_PREEMPT_NONE || (!CONFIG_PREEMPT_NONE && CONFIG_PREEMPT_VOLUNTARY)) || (!CONFIG_PREEMPT_NONE && (!CONFIG_PREEMPT_VOLUNTARY && CONFIG_PREEMPT))) || (!CONFIG_PREEMPT_NONE && (!CONFIG_PREEMPT_VOLUNTARY && !CONFIG_PREEMPT)))
CONFIG_SCSI_DH;((CONFIG_SCSI || CONFIG_SCSI_MODULE) && CONFIG_SCSI_DH) && ((((CONFIG_SCSI_DH_EMC || CONFIG_SCSI_DH_EMC_MODULE) || (CONFIG_SCSI_DH_ALUA || CONFIG_SCSI_DH_ALUA_MODULE)) || (CONFIG_SCSI_DH_RDAC || CONFIG_SCSI_DH_RDAC_MODULE)) || (CONFIG_SCSI_DH_HP_SW || CONFIG_SCSI_DH_HP_SW_MODULE))
CONFIG_RING_BUFFER_ALLOW_SWAP;(((((CONFIG_FUNCTION_TRACER || CONFIG_TRACING) || CONFIG_TRACE_CLOCK) || CONFIG_RING_BUFFER) || CONFIG_TRACEPOINTS) && CONFIG_RING_BUFFER) && CONFIG_RING_BUFFER_ALLOW_SWAP;(((((CONFIG_FUNCTION_TRACER || CONFIG_TRACING) || CONFIG_TRACE_CLOCK) || CONFIG_RING_BUFFER) || CONFIG_TRACEPOINTS) && CONFIG_TRACING) && (((CONFIG_RING_BUFFER_ALLOW_SWAP && CONFIG_TRACER_MAX_TRACE) || (!CONFIG_RING_BUFFER_ALLOW_SWAP && CONFIG_TRACER_SNAPSHOT)) || (!CONFIG_RING_BUFFER_ALLOW_SWAP && CONFIG_TRACER_MAX_TRACE))
CONFIG_CHROME_PLATFORMS;CONFIG_CHROME_PLATFORMS && ((((CONFIG_CROS_EC_PROTO || (CONFIG_CROS_EC_LPC || CONFIG_CROS_EC_LPC_MODULE)) || (CONFIG_CHROMEOS_PSTORE || CONFIG_CHROMEOS_PSTORE_MODULE)) || (CONFIG_CROS_EC_CHARDEV || CONFIG_CROS_EC_CHARDEV_MODULE)) || (CONFIG_CHROMEOS_LAPTOP || CONFIG_CHROMEOS_LAPTOP_MODULE))
CONFIG_VIDEO_SAMSUNG_EXYNOS4_IS;CONFIG_VIDEO_SAMSUNG_EXYNOS4_IS && (((((CONFIG_VIDEO_S5P_FIMC || CONFIG_VIDEO_S5P_FIMC_MODULE) || (CONFIG_VIDEO_S5P_MIPI_CSIS || CONFIG_VIDEO_S5P_MIPI_CSIS_MODULE)) || (CONFIG_VIDEO_EXYNOS4_FIMC_IS || CONFIG_VIDEO_EXYNOS4_FIMC_IS_MODULE)) || (CONFIG_VIDEO_EXYNOS_FIMC_LITE || CONFIG_VIDEO_EXYNOS_FIMC_LITE_MODULE)) || (CONFIG_VIDEO_EXYNOS4_IS_COMMON || CONFIG_VIDEO_EXYNOS4_IS_COMMON_MODULE))
CONFIG_SCSI_PROC_FS;((CONFIG_SCSI || CONFIG_SCSI_MODULE) && (CONFIG_CHR_DEV_SG || CONFIG_CHR_DEV_SG_MODULE)) && CONFIG_SCSI_PROC_FS
CONFIG_PREEMPT_VOLUNTARY;(CONFIG_MD && (CONFIG_DM_BUFIO || CONFIG_DM_BUFIO_MODULE)) && (CONFIG_PREEMPT_VOLUNTARY || !CONFIG_PREEMPT_VOLUNTARY);(((((CONFIG_FUNCTION_TRACER || CONFIG_TRACING) || CONFIG_TRACE_CLOCK) || CONFIG_RING_BUFFER) || CONFIG_TRACEPOINTS) && CONFIG_TRACING) && (((!CONFIG_PREEMPT_NONE && CONFIG_PREEMPT_VOLUNTARY) || (!CONFIG_PREEMPT_NONE && (!CONFIG_PREEMPT_VOLUNTARY && CONFIG_PREEMPT))) || (!CONFIG_PREEMPT_NONE && (!CONFIG_PREEMPT_VOLUNTARY && !CONFIG_PREEMPT)))
CONFIG_HAVE_ARCH_SECCOMP_FILTER;CONFIG_SECCOMP && (((CONFIG_HAVE_ARCH_SECCOMP_FILTER || !CONFIG_HAVE_ARCH_SECCOMP_FILTER) || !!CONFIG_HAVE_ARCH_SECCOMP_FILTER) || (CONFIG_SECCOMP_FILTER && !!CONFIG_HAVE_ARCH_SECCOMP_FILTER))
CONFIG_PCI_LABEL;CONFIG_PCI && CONFIG_PCI_LABEL;(CONFIG_PCI && CONFIG_PCI_LABEL) && (((CONFIG_DMI || CONFIG_ACPI) || !CONFIG_DMI) || !CONFIG_ACPI)
CONFIG_RCU_TRACE;(CONFIG_TREE_RCU || CONFIG_PREEMPT_RCU) || CONFIG_RCU_TRACE;!((CONFIG_TREE_RCU || CONFIG_PREEMPT_RCU) || CONFIG_RCU_TRACE);CONFIG_TINY_RCU && (CONFIG_DEBUG_LOCK_ALLOC || CONFIG_RCU_TRACE);(CONFIG_RCU_TORTURE_TEST || CONFIG_RCU_TORTURE_TEST_MODULE) && (CONFIG_RCU_TRACE || !CONFIG_RCU_TRACE)
CONFIG_VIDEO_FIXED_MINOR_RANGES;((CONFIG_VIDEO_DEV || CONFIG_VIDEO_DEV_MODULE) && (CONFIG_VIDEO_V4L2 || CONFIG_VIDEO_V4L2_MODULE)) && (CONFIG_VIDEO_FIXED_MINOR_RANGES || !CONFIG_VIDEO_FIXED_MINOR_RANGES)
CONFIG_VIDEO_SAMSUNG_S5P_TV;CONFIG_VIDEO_SAMSUNG_S5P_TV && (((((CONFIG_VIDEO_SAMSUNG_S5P_SDO || CONFIG_VIDEO_SAMSUNG_S5P_SDO_MODULE) || (CONFIG_VIDEO_SAMSUNG_S5P_HDMI || CONFIG_VIDEO_SAMSUNG_S5P_HDMI_MODULE)) || (CONFIG_VIDEO_SAMSUNG_S5P_MIXER || CONFIG_VIDEO_SAMSUNG_S5P_MIXER_MODULE)) || (CONFIG_VIDEO_SAMSUNG_S5P_SII9234 || CONFIG_VIDEO_SAMSUNG_S5P_SII9234_MODULE)) || (CONFIG_VIDEO_SAMSUNG_S5P_HDMIPHY || CONFIG_VIDEO_SAMSUNG_S5P_HDMIPHY_MODULE))
CONFIG_SERIAL_8250_DMA;((CONFIG_SERIAL_8250 || CONFIG_SERIAL_8250_MODULE) && (CONFIG_SERIAL_8250_OMAP || CONFIG_SERIAL_8250_OMAP_MODULE)) && (CONFIG_SERIAL_8250_DMA || !CONFIG_SERIAL_8250_DMA)
CONFIG_HISAX_DEBUG;((CONFIG_ISDN && (CONFIG_ISDN_DRV_HISAX || CONFIG_ISDN_DRV_HISAX_MODULE)) && (CONFIG_HISAX_HFCUSB || CONFIG_HISAX_HFCUSB_MODULE)) && (CONFIG_HISAX_DEBUG || !CONFIG_HISAX_DEBUG);((CONFIG_ISDN && (CONFIG_ISDN_DRV_HISAX || CONFIG_ISDN_DRV_HISAX_MODULE)) && (CONFIG_HISAX_FRITZ_PCIPNP || CONFIG_HISAX_FRITZ_PCIPNP_MODULE)) && (CONFIG_HISAX_DEBUG || !CONFIG_HISAX_DEBUG)
CONFIG_NET_VENDOR_HISILICON;(CONFIG_ETHERNET && CONFIG_NET_VENDOR_HISILICON) && (((CONFIG_HNS_MDIO || CONFIG_HNS_MDIO_MODULE) || (CONFIG_HIP04_ETH || CONFIG_HIP04_ETH_MODULE)) || (CONFIG_HIX5HD2_GMAC || CONFIG_HIX5HD2_GMAC_MODULE));((CONFIG_ETHERNET && CONFIG_NET_VENDOR_HISILICON) && (CONFIG_HNS || CONFIG_HNS_MODULE)) && (((CONFIG_HNS || CONFIG_HNS_MODULE) || (CONFIG_HNS_ENET || CONFIG_HNS_ENET_MODULE)) || (CONFIG_HNS_DSAF || CONFIG_HNS_DSAF_MODULE))
CONFIG_NET_VENDOR_QUALCOMM;(CONFIG_ETHERNET && CONFIG_NET_VENDOR_QUALCOMM) && (CONFIG_QCA7000 || CONFIG_QCA7000_MODULE);((CONFIG_ETHERNET && CONFIG_NET_VENDOR_QUALCOMM) && (CONFIG_QCA7000 || CONFIG_QCA7000_MODULE)) && (CONFIG_DEBUG_FS || !CONFIG_DEBUG_FS)
CONFIG_RCU_BOOST;CONFIG_TREE_RCU_TRACE && CONFIG_RCU_BOOST;(CONFIG_RCU_TORTURE_TEST || CONFIG_RCU_TORTURE_TEST_MODULE) && ((CONFIG_RCU_BOOST && !CONFIG_HOTPLUG_CPU) || !(CONFIG_RCU_BOOST && !CONFIG_HOTPLUG_CPU))
CONFIG_NF_CONNTRACK_LABELS;CONFIG_NF_CONNTRACK_LABELS && ((CONFIG_NETFILTER && (CONFIG_NFT_CT || CONFIG_NFT_CT_MODULE)) || (CONFIG_NETFILTER && (CONFIG_NF_CT_NETLINK || CONFIG_NF_CT_NETLINK_MODULE)));(CONFIG_NETFILTER && (CONFIG_NF_CT_NETLINK || CONFIG_NF_CT_NETLINK_MODULE)) && !CONFIG_NF_CONNTRACK_LABELS
