variable;presence conditions
CONFIG_GOOGLE_FIRMWARE;CONFIG_GOOGLE_FIRMWARE && ((CONFIG_GOOGLE_SMI || CONFIG_GOOGLE_SMI_MODULE) || (CONFIG_GOOGLE_MEMCONSOLE || CONFIG_GOOGLE_MEMCONSOLE_MODULE))
CONFIG_MODULES_TREE_LOOKUP;CONFIG_MODULES && (CONFIG_MODULES_TREE_LOOKUP || !CONFIG_MODULES_TREE_LOOKUP)
CONFIG_RCU_TORTURE_TEST_SLOW_INIT;(CONFIG_TREE_RCU || CONFIG_PREEMPT_RCU) && (CONFIG_RCU_TORTURE_TEST_SLOW_INIT || !CONFIG_RCU_TORTURE_TEST_SLOW_INIT)
CONFIG_ASYNC_PQ_MODULE;(CONFIG_DMADEVICES && CONFIG_DMA_ENGINE) && ((CONFIG_ASYNC_PQ || CONFIG_ASYNC_PQ_MODULE) || (!CONFIG_ASYNC_TX_DISABLE_PQ_VAL_DMA && (CONFIG_ASYNC_PQ || CONFIG_ASYNC_PQ_MODULE)))
CONFIG_ASYNC_XOR_MODULE;(CONFIG_DMADEVICES && CONFIG_DMA_ENGINE) && ((CONFIG_ASYNC_XOR || CONFIG_ASYNC_XOR_MODULE) || (!CONFIG_ASYNC_TX_DISABLE_XOR_VAL_DMA && (CONFIG_ASYNC_XOR || CONFIG_ASYNC_XOR_MODULE)))
CONFIG_RCU_TORTURE_TEST_SLOW_PREINIT;(CONFIG_TREE_RCU || CONFIG_PREEMPT_RCU) && (CONFIG_RCU_TORTURE_TEST_SLOW_PREINIT || !CONFIG_RCU_TORTURE_TEST_SLOW_PREINIT)
CONFIG_LOCKD_V4;((CONFIG_NFSD || CONFIG_NFSD_MODULE) && (CONFIG_NFSD || CONFIG_NFSD_MODULE)) && (CONFIG_LOCKD_V4 || !CONFIG_LOCKD_V4)
CONFIG_NEED_PER_CPU_EMBED_FIRST_CHUNK;CONFIG_SMP && (CONFIG_NEED_PER_CPU_EMBED_FIRST_CHUNK || (CONFIG_NEED_PER_CPU_EMBED_FIRST_CHUNK || !CONFIG_HAVE_SETUP_PER_CPU_AREA))
CONFIG_RAID_ATTRS;(CONFIG_SCSI || CONFIG_SCSI_MODULE) && ((CONFIG_RAID_ATTRS || CONFIG_RAID_ATTRS_MODULE) || ((CONFIG_SCSI || CONFIG_SCSI_MODULE) && (CONFIG_RAID_ATTRS || CONFIG_RAID_ATTRS_MODULE)))
CONFIG_USB_MUSB_DUAL_ROLE;(((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_MUSB_HDRC || CONFIG_USB_MUSB_HDRC_MODULE)) && (CONFIG_USB_MUSB_SUNXI || CONFIG_USB_MUSB_SUNXI_MODULE)) && (CONFIG_USB_MUSB_DUAL_ROLE || (CONFIG_USB_MUSB_DUAL_ROLE || CONFIG_USB_MUSB_HOST))
